transaction_id,is_laundering_pattern
TXN0050807,0
TXN0035695,0
TXN0010835,0
TXN0031111,0
TXN0034912,0
TXN0057930,0
TXN0005989,0
TXN0039458,0
TXN0051310,0
TXN0058614,0
TXN0024884,0
TXN0017666,0
TXN0044586,0
TXN0010941,0
TXN0016875,0
TXN0049747,0
TXN0056346,0
TXN0038778,0
TXN0030055,0
TXN0055074,0
TXN0000476,0
TXN0043761,0
TXN0024478,0
TXN0011619,0
TXN0053354,0
TXN0048644,0
TXN0049442,0
TXN0007499,0
TXN0031732,0
TXN0018575,0
TXN0021082,0
TXN0023469,0
TXN0024239,0
TXN0012597,0
TXN0049932,0
TXN0006692,0
TXN0024465,0
TXN0006821,0
TXN0031567,0
TXN0056960,0
TXN0003104,0
TXN0037445,0
TXN0000054,0
TXN0027049,0
TXN0042564,0
TXN0004689,0
TXN0000890,0
TXN0010134,0
TXN0020768,0
TXN0019730,0
TXN0035411,0
TXN0026701,0
TXN0050632,0
TXN0055285,0
TXN0049086,0
TXN0057290,0
TXN0015719,0
TXN0011708,0
TXN0009931,0
TXN0046383,0
TXN0028508,0
TXN0045321,0
TXN0001557,0
TXN0032169,0
TXN0012692,0
TXN0056247,0
TXN0017473,0
TXN0023451,0
TXN0049029,0
TXN0013579,0
TXN0053342,0
TXN0008473,0
TXN0002399,0
TXN0039708,0
TXN0012111,0
TXN0014835,0
TXN0032281,0
TXN0030213,0
TXN0038782,0
TXN0014936,0
TXN0004644,0
TXN0012542,0
TXN0013154,0
TXN0007040,0
TXN0045804,0
TXN0007568,0
TXN0047049,0
TXN0053237,0
TXN0039751,0
TXN0051037,0
TXN0047339,0
TXN0051024,0
TXN0057046,0
TXN0017983,0
TXN0058442,0
TXN0008537,0
TXN0039011,0
TXN0015397,0
TXN0019817,0
TXN0053960,0
TXN0049030,0
TXN0021862,0
TXN0015769,0
TXN0057209,0
TXN0036511,0
TXN0055705,0
TXN0018063,0
TXN0035419,0
TXN0005784,0
TXN0027929,0
TXN0035818,0
TXN0049213,0
TXN0042011,0
TXN0016357,0
TXN0005466,0
TXN0051787,0
TXN0009183,0
TXN0047422,0
TXN0049676,0
TXN0055242,0
TXN0019308,0
TXN0010583,0
TXN0051369,0
TXN0045414,0
TXN0013720,0
TXN0034276,0
TXN0034292,0
TXN0017163,0
TXN0008466,0
TXN0056131,0
TXN0028736,0
TXN0027820,0
TXN0013013,0
TXN0026516,0
TXN0049125,0
TXN0020570,0
TXN0039078,0
TXN0036488,0
TXN0024149,0
TXN0034575,0
TXN0040320,0
TXN0022681,0
TXN0059229,0
TXN0034471,0
TXN0056539,0
TXN0002574,0
TXN0058029,0
TXN0049789,0
TXN0058652,0
TXN0014168,0
TXN0040422,0
TXN0040807,0
TXN0014054,0
TXN0033358,0
TXN0015943,0
TXN0058912,0
TXN0008383,0
TXN0045963,0
TXN0023969,0
TXN0042168,0
TXN0033670,0
TXN0010193,0
TXN0035101,0
TXN0000431,0
TXN0012933,0
TXN0016625,0
TXN0013709,0
TXN0012123,0
TXN0000273,0
TXN0031475,0
TXN0016839,0
TXN0032513,0
TXN0038550,0
TXNS00811,1
TXN0034981,0
TXN0025062,0
TXN0047293,0
TXN0012551,0
TXN0050208,0
TXN0023388,0
TXN0050246,0
TXN0002247,0
TXN0036705,0
TXN0054180,0
TXN0017869,0
TXN0051088,0
TXN0034138,0
TXN0028641,0
TXN0044699,0
TXN0053808,0
TXN0025231,0
TXN0001477,0
TXN0055844,0
TXN0023594,0
TXN0012000,0
TXN0032540,0
TXN0016853,0
TXN0040513,0
TXN0000212,0
TXN0041668,0
TXN0048092,0
TXN0045700,0
TXN0008480,0
TXN0054712,0
TXN0048187,0
TXN0058979,0
TXN0007520,0
TXN0050743,0
TXN0046011,0
TXN0030925,0
TXN0010609,0
TXN0020453,0
TXN0057215,0
TXN0018661,0
TXN0035759,0
TXN0055537,0
TXN0038928,0
TXN0041972,0
TXN0002541,0
TXN0054198,0
TXN0041997,0
TXN0010371,0
TXN0034424,0
TXN0051983,0
TXN0004028,0
TXN0047106,0
TXN0040314,0
TXN0058742,0
TXN0022793,0
TXN0023346,0
TXN0044793,0
TXN0039555,0
TXN0040679,0
TXN0042345,0
TXN0023262,0
TXN0050831,0
TXN0059157,0
TXN0052371,0
TXN0045063,0
TXN0033274,0
TXN0016224,0
TXN0043924,0
TXN0031322,0
TXN0049061,0
TXN0054296,0
TXN0012051,0
TXN0018829,0
TXN0029976,0
TXN0038036,0
TXN0001608,0
TXN0009902,0
TXN0046447,0
TXN0043334,0
TXN0012212,0
TXN0029258,0
TXN0006689,0
TXN0006481,0
TXN0032864,0
TXN0019174,0
TXN0002101,0
TXN0008063,0
TXN0041467,0
TXN0043726,0
TXN0033286,0
TXN0052801,0
TXN0035668,0
TXN0046295,0
TXN0053749,0
TXN0020089,0
TXN0015278,0
TXN0024065,0
TXN0018878,0
TXN0007801,0
TXN0042001,0
TXN0004990,0
TXN0050272,0
TXN0012899,0
TXN0007982,0
TXN0012958,0
TXN0043143,0
TXN0059802,0
TXN0004046,0
TXN0002854,0
TXN0041904,0
TXN0024880,0
TXN0046397,0
TXN0017779,0
TXN0015864,0
TXN0044600,0
TXN0008364,0
TXN0051705,0
TXN0016723,0
TXN0043638,0
TXN0012912,0
TXN0040435,0
TXN0007497,0
TXN0058864,0
TXN0038946,0
TXN0000261,0
TXN0041963,0
TXN0047971,0
TXN0044295,0
TXN0019306,0
TXN0006515,0
TXN0031057,0
TXN0042455,0
TXN0033846,0
TXN0024637,0
TXN0020082,0
TXN0018446,0
TXN0058571,0
TXN0044819,0
TXN0008404,0
TXN0013949,0
TXN0047895,0
TXN0041143,0
TXN0052181,0
TXN0018295,0
TXN0048141,0
TXN0029929,0
TXN0039636,0
TXN0003136,0
TXN0036016,0
TXN0059001,0
TXN0005747,0
TXN0039701,0
TXN0032067,0
TXN0035684,0
TXN0019375,0
TXN0019574,0
TXN0051302,0
TXN0057634,0
TXN0034496,0
TXN0027121,0
TXN0017817,0
TXN0039324,0
TXN0057710,0
TXN0048888,0
TXN0016317,0
TXN0047041,0
TXN0015725,0
TXN0029325,0
TXN0002826,0
TXN0035347,0
TXN0059996,0
TXN0053340,0
TXN0025438,0
TXN0000109,0
TXN0006271,0
TXN0048974,0
TXN0045199,0
TXN0013132,0
TXN0028096,0
TXN0040415,0
TXN0050844,0
TXN0020633,0
TXN0057436,0
TXN0012986,0
TXN0031229,0
TXN0032488,0
TXN0036677,0
TXN0029447,0
TXN0022916,0
TXN0035097,0
TXN0021075,0
TXN0055571,0
TXN0016817,0
TXN0054634,0
TXN0003077,0
TXN0029912,0
TXN0037793,0
TXN0040560,0
TXN0054653,0
TXN0029840,0
TXN0010020,0
TXN0006423,0
TXN0046168,0
TXN0003584,0
TXN0051147,0
TXN0023832,0
TXN0007726,0
TXN0059767,0
TXN0006425,0
TXN0059384,0
TXN0000729,0
TXN0054278,0
TXN0018874,0
TXN0042726,0
TXN0009588,0
TXN0028958,0
TXN0034081,0
TXN0055813,0
TXN0038860,0
TXN0007024,0
TXN0057354,0
TXN0035648,0
TXN0029131,0
TXN0015484,0
TXN0013257,0
TXN0042016,0
TXN0034933,0
TXN0018342,0
TXN0036988,0
TXN0006340,0
TXN0046670,0
TXN0031137,0
TXN0055507,0
TXN0058010,0
TXN0022697,0
TXN0048066,0
TXN0004060,0
TXN0018106,0
TXN0006196,0
TXN0031316,0
TXN0029797,0
TXN0020628,0
TXN0000971,0
TXN0012814,0
TXN0009038,0
TXN0044204,0
TXN0035456,0
TXN0037943,0
